k,rise,SE,structure,step,split,best
1.0,255.8836324775194,286.24852927854164,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
1.4,237.90793467565283,280.15642466675826,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
2.0,217.91952045377064,271.7974450663639,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
2.8,195.28381961756082,260.4068475971559,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
4.0,169.11349021868406,245.24190922726183,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
5.7,139.522858065842,225.47534954239316,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
8.0,108.13321087326484,200.2971965720072,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
11,76.58099474736404,169.19762831540686,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
16,47.197001084380574,132.3486159068189,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
23,23.046591235030498,90.74836874383621,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
32,6.863001377828796,45.88000694822669,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
45,0.0,0.0,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
64,1.994864863370144,44.49762886170243,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
91,10.99515928939907,85.30602993977634,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
128,24.425946084651805,120.86006024573017,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
181,39.43165319903933,150.43853345548084,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
256,54.025799543328006,174.15954038585144,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
362,66.80571068161743,192.59035690442232,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
512,77.26666436454798,206.55741731423424,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
724,85.5043139021638,216.94394005585676,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
1024,91.77329630348213,224.56864856761666,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
1448,96.45323244960178,230.10724751078018,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
2048,99.89715252329262,234.0983944935479,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
inf,108.73238125990947,243.99961613372895,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
1.0,95.25252168783818,168.28600676517635,C,1,HBP | K+BB+HR,11
1.4,76.20456366162186,152.90812193525232,C,1,HBP | K+BB+HR,11
2.0,55.64027630750742,132.46919096336518,C,1,HBP | K+BB+HR,11
2.8,34.922178727465784,108.39841843384917,C,1,HBP | K+BB+HR,11
4.0,18.814842778539084,81.93866757699716,C,1,HBP | K+BB+HR,11
5.7,7.071775910002778,54.31230821129174,C,1,HBP | K+BB+HR,11
8.0,0.6915727952449605,26.726304174781873,C,1,HBP | K+BB+HR,11
11,0.0,0.0,C,1,HBP | K+BB+HR,11
16,4.123972341769024,25.000260918030804,C,1,HBP | K+BB+HR,11
23,12.33197218829639,47.491147296158644,C,1,HBP | K+BB+HR,11
32,22.666376962479937,67.01686915267923,C,1,HBP | K+BB+HR,11
45,33.43866891713743,83.32801454262462,C,1,HBP | K+BB+HR,11
64,43.67244966908916,96.52228976671455,C,1,HBP | K+BB+HR,11
91,52.603494203611795,106.8797634523022,C,1,HBP | K+BB+HR,11
128,59.93594757371466,114.80809020909248,C,1,HBP | K+BB+HR,11
181,65.71015400104322,120.75573163970142,C,1,HBP | K+BB+HR,11
256,70.1363209650941,125.14923462407822,C,1,HBP | K+BB+HR,11
362,73.44069889549706,128.35231337863328,C,1,HBP | K+BB+HR,11
512,75.8682176546296,130.6686528428986,C,1,HBP | K+BB+HR,11
724,77.63456831308744,132.33388728993575,C,1,HBP | K+BB+HR,11
1024,78.90923139720539,133.52538690989755,C,1,HBP | K+BB+HR,11
1448,79.82363608939515,134.37503422360558,C,1,HBP | K+BB+HR,11
2048,80.47686060851726,134.97943674628658,C,1,HBP | K+BB+HR,11
inf,82.07832018405627,136.4508299773658,C,1,HBP | K+BB+HR,11
1.0,441.92924711261776,361.8373915363844,C,2,HR | K+BB,8.0
1.4,337.7789173429097,320.92988498097844,C,2,HR | K+BB,8.0
2.0,234.80614597678948,272.036251713217,C,2,HR | K+BB,8.0
2.8,139.4809549113627,215.2412889956769,C,2,HR | K+BB,8.0
4.0,61.6081683684088,151.14686168828607,C,2,HR | K+BB,8.0
5.7,12.28073675145136,78.84416496552885,C,2,HR | K+BB,8.0
8.0,0.0,0.0,C,2,HR | K+BB,8.0
11,28.160920595120267,81.5150737341014,C,2,HR | K+BB,8.0
16,84.3826714180069,160.6186042479409,C,2,HR | K+BB,8.0
23,157.30427745724293,233.4188247668258,C,2,HR | K+BB,8.0
32,237.91356114704934,296.82697258453305,C,2,HR | K+BB,8.0
45,317.66606047674514,349.8789853727152,C,2,HR | K+BB,8.0
64,389.34834319663844,392.76085555273914,C,2,HR | K+BB,8.0
91,449.3069378030321,426.0314798822535,C,2,HR | K+BB,8.0
128,497.22993022996485,451.1397271424061,C,2,HR | K+BB,8.0
181,534.487072357349,469.7904617791855,C,2,HR | K+BB,8.0
256,562.4758836928296,483.5073833906861,C,2,HR | K+BB,8.0
362,583.062533561121,493.404863287159,C,2,HR | K+BB,8.0
512,598.2172225043215,500.52666977863765,C,2,HR | K+BB,8.0
724,609.1778128950764,505.6337888415124,C,2,HR | K+BB,8.0
1024,617.0191324473063,509.27194026933086,C,2,HR | K+BB,8.0
1448,622.6110738954966,511.8578867009928,C,2,HR | K+BB,8.0
2048,626.5764316345071,513.693496482356,C,2,HR | K+BB,8.0
inf,636.2787401447392,518.157579477887,C,2,HR | K+BB,8.0
