# WPBL dice-game player cards -- v0.5.3, NOT FINAL. What changed between versions: data/dice/dice_version.md.
# Built from 39 games through 2026-09-22 (2798 plate appearances); code 043e51f + uncommitted changes.
# These FORECAST how a player would do in games we have not seen. They do not
# replay 2026: a card is pulled toward players her team used about as much, so it
# will not match her season line, by design (dice_game_spec.md section 3).
# A card that looks wrong is worth reporting: https://github.com/jgf1123/wpbl/issues
player,team,stamina,BF,fresh HR cells,fresh HR,fresh 1B cells,fresh 1B,fresh BB cells,fresh BB,fresh HBP cells,fresh HBP,fresh K cells,fresh K,fresh OUT cells,fresh OUT,fading HR cells,fading HR,fading 1B cells,fading 1B,fading BB cells,fading BB,fading HBP cells,fading HBP,fading K cells,fading K,fading OUT cells,fading OUT,gassed HR cells,gassed HR,gassed 1B cells,gassed 1B,gassed BB cells,gassed BB,gassed HBP cells,gassed HBP,gassed K cells,gassed K,gassed OUT cells,gassed OUT
Ayami Sato,LAQ,100,183,1,00,7,01-07,2,08-09,1,10,6,11-16,16,17-32,1,00,8,01-08,2,09-10,1,11,4,12-15,17,16-32,2,00-01,7,02-08,3,09-11,1,12,2,13-14,18,15-32
Kelsie Whitmore,SFF,90,177,1,00,7,01-07,2,08-09,1,10,6,11-16,16,17-32,1,00,7,01-07,4,08-11,1,12,3,13-15,17,16-32,3,00-02,7,03-09,3,10-12,1,13,2,14-15,17,16-32
Gigi Schiano,BOS,100,152,1,00,9,01-09,4,10-13,1,14,3,15-17,15,18-32,1,00,9,01-09,4,10-13,1,14,2,15-16,16,17-32,3,00-02,8,03-10,5,11-15,1,16,1,17,15,18-32
Michelle Roche,LAQ,90,149,1,00,9,01-09,2,10-11,1,12,4,13-16,16,17-32,1,00,9,01-09,4,10-13,1,14,2,15-16,16,17-32,1,00,8,01-08,4,09-12,2,13-14,1,15,17,16-32
Liz Gilder,SFF,80,139,1,00,6,01-06,4,07-10,1,11,5,12-16,16,17-32,1,00,7,01-07,3,08-10,2,11-12,3,13-15,17,16-32,2,00-01,6,02-07,5,08-12,2,13-14,2,15-16,16,17-32
Niki Eckert,SFF,80,138,1,00,8,01-08,3,09-11,1,12,6,13-18,14,19-32,1,00,7,01-07,4,08-11,2,12-13,4,14-17,15,18-32,1,00,7,01-07,5,08-12,3,13-15,2,16-17,15,18-32
Rakyung Kim,NYH,90,129,1,00,7,01-07,3,08-10,1,11,8,12-19,13,20-32,1,00,7,01-07,4,08-11,2,12-13,5,14-18,14,19-32,2,00-01,6,02-07,5,08-12,3,13-15,3,16-18,14,19-32
Jamie Mackay,LAQ,80,112,1,00,8,01-08,3,09-11,1,12,7,13-19,13,20-32,1,00,8,01-08,3,09-11,3,12-14,5,15-19,13,20-32,3,00-02,7,03-09,3,10-12,4,13-16,3,17-19,13,20-32
Kate Blunt,BOS,90,103,1,00,7,01-07,5,08-12,1,13,4,14-17,15,18-32,1,00,8,01-08,5,09-13,1,14,3,15-17,15,18-32,2,00-01,7,02-08,6,09-14,2,15-16,2,17-18,14,19-32
Alli Schroder,BOS,80,99,1,00,9,01-09,4,10-13,1,14,5,15-19,13,20-32,1,00,8,01-08,6,09-14,1,15,3,16-18,14,19-32,2,00-01,7,02-08,6,09-14,2,15-16,2,17-18,14,19-32
Claire OSullivan,NYH,70,97,1,00,8,01-08,4,09-12,1,13,5,14-18,14,19-32,1,00,8,01-08,5,09-13,2,14-15,3,16-18,14,19-32,2,00-01,7,02-08,5,09-13,3,14-16,2,17-18,14,19-32
Jill Albayati,SFF,80,95,1,00,6,01-06,3,07-09,1,10,8,11-18,14,19-32,2,00-01,7,02-08,3,09-11,1,12,5,13-17,15,18-32,4,00-03,6,04-09,4,10-13,1,14,3,15-17,15,18-32
Maika Dumais,BOS,70,88,1,00,7,01-07,4,08-11,2,12-13,6,14-19,13,20-32,2,00-01,7,02-08,4,09-12,3,13-15,4,16-19,13,20-32,3,00-02,6,03-08,5,09-13,5,14-18,2,19-20,12,21-32
Paloma Benach,BOS,80,86,1,00,9,01-09,4,10-13,1,14,2,15-16,16,17-32,1,00,9,01-09,5,10-14,1,15,1,16,16,17-32,3,00-02,7,03-09,5,10-14,1,15,1,16,16,17-32
Meggie Meidlinger,LAQ,70,85,1,00,6,01-06,3,07-09,1,10,8,11-18,14,19-32,2,00-01,7,02-08,2,09-10,1,11,5,12-16,16,17-32,4,00-03,6,04-09,4,10-13,1,14,3,15-17,15,18-32
Jaida Lee,NYH,90,84,1,00,6,01-06,1,07,1,08,13,09-21,11,22-32,1,00,6,01-06,3,07-09,2,10-11,8,12-19,13,20-32,3,00-02,5,03-07,3,08-10,4,11-14,5,15-19,13,20-32
Peyton Coria,SFF,60,83,1,00,6,01-06,4,07-10,1,11,7,12-18,14,19-32,1,00,7,01-07,5,08-12,1,13,4,14-17,15,18-32,3,00-02,6,03-08,6,09-14,1,15,3,16-18,14,19-32
Ela Day Bedard,SFF,60,79,1,00,8,01-08,4,09-12,1,13,3,14-16,16,17-32,1,00,7,01-07,5,08-12,2,13-14,2,15-16,16,17-32,3,00-02,6,03-08,5,09-13,3,14-16,1,17,15,18-32
Emi Saiki,NYH,110,76,1,00,7,01-07,1,08,1,09,6,10-15,17,16-32,1,00,7,01-07,2,08-09,2,10-11,4,12-15,17,16-32,3,00-02,6,03-08,2,09-10,3,11-13,2,14-15,17,16-32
Jacqui Reynolds,NYH,70,63,1,00,7,01-07,4,08-11,1,12,6,13-18,14,19-32,2,00-01,6,02-07,5,08-12,1,13,4,14-17,15,18-32,3,00-02,6,03-08,6,09-14,2,15-16,2,17-18,14,19-32
London Studer,NYH,70,62,1,00,5,01-05,6,06-11,1,12,7,13-19,13,20-32,1,00,6,01-06,8,07-14,1,15,4,16-19,13,20-32,3,00-02,5,03-07,8,08-15,2,16-17,2,18-19,13,20-32
Ayuri Shimano,LAQ,90,55,1,00,7,01-07,5,08-12,1,13,7,14-20,12,21-32,2,00-01,6,02-07,6,08-13,1,14,5,15-19,13,20-32,3,00-02,6,03-08,7,09-15,2,16-17,3,18-20,12,21-32
